file_name,module,category,size_bytes,selected_sheet_export,automation_asset
Submission_Build_v4.2/15_Dataset_Model_Release/Uroflow_Pilot_Freeze_Kit_Spec_v1.0_EN.docx,15_Dataset_Model_Release,docx,37885,no,no
Submission_Build_v4.2/15_Dataset_Model_Release/Uroflow_Pilot_Freeze_Kit_Spec_v1.0_RU.docx,15_Dataset_Model_Release,docx,38400,no,no
Submission_Build_v4.2/15_Dataset_Model_Release/Uroflow_Pilot_Freeze_Kit_Template_v1.0.xlsx,15_Dataset_Model_Release,xlsx,6239,yes,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/EDC_Integration/Uroflow_Golden_Dataset_EDC_Export_Spec_v1.0_EN.docx,18_Golden_Dataset_MultiSite,docx,37598,no,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/EDC_Integration/Uroflow_Golden_Dataset_EDC_Export_Spec_v1.0_RU.docx,18_Golden_Dataset_MultiSite,docx,37911,no,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/Logs/Uroflow_Reference_Device_Qualification_Log_v1.0.xlsx,18_Golden_Dataset_MultiSite,xlsx,5296,no,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/Logs/Uroflow_Site_Qualification_Log_v1.0.xlsx,18_Golden_Dataset_MultiSite,xlsx,5228,no,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/Logs/Uroflow_Training_Attendance_Log_v1.0.xlsx,18_Golden_Dataset_MultiSite,xlsx,5188,no,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/Protocol/Uroflow_DatasetRelease_Readiness_GoNoGo_Checklist_v1.0_EN.docx,18_Golden_Dataset_MultiSite,docx,37454,no,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/Protocol/Uroflow_DatasetRelease_Readiness_GoNoGo_Checklist_v1.0_RU.docx,18_Golden_Dataset_MultiSite,docx,37689,no,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/Protocol/Uroflow_Golden_Dataset_MultiSite_Protocol_v1.0_EN.docx,18_Golden_Dataset_MultiSite,docx,39451,no,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/Protocol/Uroflow_Golden_Dataset_MultiSite_Protocol_v1.0_RU.docx,18_Golden_Dataset_MultiSite,docx,40118,no,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/Protocol/Uroflow_Reference_Uroflowmeter_Qualification_SOP_v1.0_EN.docx,18_Golden_Dataset_MultiSite,docx,37867,no,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/Protocol/Uroflow_Reference_Uroflowmeter_Qualification_SOP_v1.0_RU.docx,18_Golden_Dataset_MultiSite,docx,38289,no,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/Site_Onboarding/Uroflow_Site_Feasibility_Questionnaire_v1.0.xlsx,18_Golden_Dataset_MultiSite,xlsx,5537,no,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/Site_Onboarding/Uroflow_Site_Onboarding_Checklist_v1.0_EN.docx,18_Golden_Dataset_MultiSite,docx,37543,no,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/Site_Onboarding/Uroflow_Site_Onboarding_Checklist_v1.0_RU.docx,18_Golden_Dataset_MultiSite,docx,37820,no,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/Site_Onboarding/Uroflow_Site_Training_Agenda_and_Materials_v1.0_EN.docx,18_Golden_Dataset_MultiSite,docx,37526,no,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/Site_Onboarding/Uroflow_Site_Training_Agenda_and_Materials_v1.0_RU.docx,18_Golden_Dataset_MultiSite,docx,37770,no,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/Templates/Uroflow_Golden_Dataset_Coverage_Targets_Tracker_v1.0.xlsx,18_Golden_Dataset_MultiSite,xlsx,5425,yes,no
Submission_Build_v4.2/18_Golden_Dataset_MultiSite/Templates/Uroflow_Golden_Dataset_Weekly_Report_Template_v1.0.xlsx,18_Golden_Dataset_MultiSite,xlsx,5282,yes,no
Submission_Build_v4.2/19_Ethics_Submission_Packs/Ethics_Submission_Pack_Index_v1.0.xlsx,19_Ethics_Submission_Packs,xlsx,9658,yes,no
Submission_Build_v4.2/19_Ethics_Submission_Packs/Uroflow_Ethics_Submission_Pack_Guide_v1.0_EN.docx,19_Ethics_Submission_Packs,docx,37763,no,no
Submission_Build_v4.2/19_Ethics_Submission_Packs/Uroflow_Ethics_Submission_Pack_Guide_v1.0_RU.docx,19_Ethics_Submission_Packs,docx,38068,no,no
